Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,545.0,548.0,517.75,517.75,517.75,937399
2019-01-28,491.9,491.9,491.9,491.9,491.9,14281
2019-01-29,467.35,467.35,467.35,467.35,467.35,27484
2019-01-30,444.0,444.0,444.0,444.0,444.0,2487
2019-01-31,421.8,444.0,421.8,427.55,427.55,749474
2019-02-01,421.25,448.9,406.2,406.2,406.2,781468
2019-02-04,385.9,426.5,385.9,426.3,426.3,286140
2019-02-05,424.0,447.6,424.0,447.6,447.6,111441
2019-02-06,469.95,469.95,455.0,469.95,469.95,238114
2019-02-07,460.1,493.4,460.0,475.35,475.35,190195
2019-02-08,470.0,547.8,440.0,498.75,498.75,472395
2019-02-11,485.0,516.0,412.0,441.15,441.15,418890
2019-02-12,436.0,448.9,411.1,421.15,421.15,207442
2019-02-14,415.0,415.0,388.0,403.15,403.15,45221
2019-02-15,403.0,409.85,397.35,402.6,402.6,36070
2019-02-18,405.9,405.9,382.1,386.9,386.9,31873
2019-02-19,386.0,433.9,386.0,407.15,407.15,55225
2019-02-20,415.0,421.05,403.0,411.95,411.95,27037
2019-02-21,423.9,444.95,412.1,428.65,428.65,57345
2019-02-22,431.5,453.7,420.55,435.0,435.0,91953
2019-02-25,430.5,463.0,429.0,455.7,455.7,276781
2019-02-26,452.4,464.4,435.0,459.9,459.9,254458
2019-02-27,478.0,478.8,436.0,470.8,470.8,83592
2019-02-28,468.05,504.8,468.05,498.35,498.35,846964
2019-03-01,500.0,527.95,495.0,523.2,523.2,252605
2019-03-05,520.8,526.5,486.4,496.15,496.15,561043
2019-03-06,492.95,517.2,492.7,500.7,500.7,169334
2019-03-07,502.0,515.0,493.4,505.8,505.8,77562
2019-03-08,502.05,512.0,496.45,503.4,503.4,101068
2019-03-11,498.0,521.3,498.0,514.95,514.95,179514
2019-03-12,511.5,534.8,511.5,530.4,530.4,163933
2019-03-13,525.35,594.0,519.8,583.85,583.85,228195
2019-03-14,578.0,648.9,571.0,622.5,622.5,459949
2019-03-15,621.0,630.0,595.0,614.1,614.1,101256
2019-03-18,625.0,625.0,590.0,622.75,622.75,73821
2019-03-19,625.0,628.0,600.35,603.05,603.05,52154
2019-03-20,603.05,618.0,595.0,598.65,598.65,208075
2019-03-22,598.0,600.0,576.2,580.45,580.45,43393
2019-03-25,570.3,590.95,557.1,582.05,582.05,64296
2019-03-26,589.0,597.7,579.0,584.9,584.9,25619
2019-03-27,581.5,592.1,568.4,584.6,584.6,37528
2019-03-28,579.0,616.0,578.05,602.9,602.9,114483
2019-04-01,618.0,659.0,618.0,632.95,632.95,67319
2019-04-02,641.9,641.9,599.0,610.75,610.75,109778
2019-04-03,619.85,622.9,609.2,614.7,614.7,27173
2019-04-04,612.0,622.0,604.0,611.0,611.0,19097
2019-04-05,617.95,621.95,605.0,616.1,616.1,21305
2019-04-08,620.2,620.2,596.65,601.05,601.05,18829
2019-04-09,602.0,609.9,600.0,602.7,602.7,13881
2019-04-10,605.05,611.7,602.7,604.9,604.9,12439
2019-04-11,604.8,609.05,599.0,604.0,604.0,13593
2019-04-12,600.55,603.9,576.6,583.1,583.1,54639
2019-04-15,590.0,590.0,573.15,580.45,580.45,32627
2019-04-16,579.0,584.55,556.0,560.15,560.15,31968
2019-04-18,568.6,568.6,538.5,548.0,548.0,34343
2019-04-22,555.0,556.2,525.0,528.75,528.75,22700
2019-04-23,525.1,547.0,522.0,532.1,532.1,32298
2019-04-24,568.0,568.0,529.0,530.95,530.95,37238
2019-04-25,531.2,531.25,505.0,509.8,509.8,66132
2019-04-26,520.0,520.0,485.95,496.7,496.7,44026
2019-04-30,496.0,510.05,475.0,492.1,492.1,254415
2019-05-02,498.0,508.25,493.5,498.85,498.85,40559
2019-05-03,495.6,507.5,495.6,498.45,498.45,12824
2019-05-06,500.0,500.0,478.1,481.15,481.15,17849
2019-05-07,480.0,493.95,475.05,487.0,487.0,34863
2019-05-08,485.05,486.0,476.0,477.15,477.15,39928
2019-05-09,483.4,483.65,448.75,470.55,470.55,34542
2019-05-10,476.0,478.9,454.0,466.45,466.45,34813
2019-05-13,473.4,478.0,460.0,463.5,463.5,8911
2019-05-14,460.0,493.0,446.3,485.8,485.8,274942
2019-05-15,482.05,505.0,480.1,497.85,497.85,19453
2019-05-16,500.0,500.0,480.2,491.95,491.95,31087
2019-05-17,494.5,499.3,476.0,485.5,485.5,203584
2019-05-20,496.15,504.4,480.0,483.3,483.3,105213
2019-05-21,498.0,498.0,481.0,485.05,485.05,44954
2019-05-22,477.0,496.0,470.25,481.95,481.95,47812
2019-05-23,497.95,497.95,476.5,479.4,479.4,31610
2019-05-24,475.6,487.5,470.0,481.8,481.8,26426
2019-05-27,477.4,496.6,477.1,491.05,491.05,33976
2019-05-28,491.1,491.95,456.6,462.85,462.85,152206
2019-05-29,465.25,475.5,460.0,470.45,470.45,54320
2019-05-30,476.0,481.0,468.25,475.0,475.0,13864
2019-05-31,471.35,477.25,458.05,462.95,462.95,41839
2019-06-03,467.0,467.0,451.25,457.3,457.3,19225
2019-06-04,455.65,468.5,453.15,460.55,460.55,35077
2019-06-06,460.05,462.0,454.5,457.1,457.1,17911
2019-06-07,457.15,460.5,452.1,455.75,455.75,15700
2019-06-10,455.75,458.25,441.0,442.05,442.05,16206
2019-06-11,447.45,452.0,434.0,442.2,442.2,24904
2019-06-12,444.2,457.0,440.75,447.15,447.15,32327
2019-06-13,445.0,448.05,434.5,436.75,436.75,31438
2019-06-14,442.0,442.0,416.0,423.35,423.35,36054
2019-06-17,420.0,430.0,410.05,420.95,420.95,112487
2019-06-18,421.0,435.0,421.0,426.35,426.35,18141
2019-06-19,427.95,433.0,407.05,412.15,412.15,10761
2019-06-20,419.5,424.8,400.0,414.1,414.1,9623
2019-06-21,414.6,437.0,407.05,414.9,414.9,13289
2019-06-24,413.0,433.3,402.55,427.9,427.9,9229
2019-06-25,421.0,433.8,421.0,429.3,429.3,15425
2019-06-26,430.05,454.0,428.0,450.85,450.85,26104
2019-06-27,446.65,478.0,446.65,464.7,464.7,19083
2019-06-28,465.05,490.0,465.05,487.35,487.35,29858
2019-07-01,490.0,511.0,471.05,497.4,497.4,90319
2019-07-02,501.05,503.9,480.0,484.2,484.2,17285
2019-07-03,487.5,492.0,473.2,489.45,489.45,16588
2019-07-04,494.9,494.9,464.35,466.65,466.65,23250
2019-07-05,468.95,471.85,438.0,446.2,446.2,26284
2019-07-08,440.0,450.0,424.0,443.6,443.6,9591
2019-07-09,440.0,456.0,432.35,451.55,451.55,5069
